Q16H2,"The numbers in the next row are 23, 34, and 18","다음 줄의 숫자들은 23, 34, 18이 됩니다"
Q16H3,Focus on the largest and smallest numbers,가장 큰 수와 작은 수에 집중해보세요
Q17H1,Three numbers,세가지의 숫자
Q18H1,Try multiplying,곱하기를 사용해보세요
Q19H1,There is no trick in the question,문제에 속임수는 없습니다
Q19H2,Dividing one-half is equal to multiplying two,2분의 1을 나누는 것은 2를 곱하는 것과 같습니다
Q20H1,The first number must be squared,첫번째 숫자는 제곱을 해야합니다
Q20H2,The star-shaped operator is equal to minus,별모양 연산자는 빼기와 동일하게 기능합니다
Q20H3,The second number is the sum from 1 to that number,두번째 숫자는 1부터 해당 숫자까지의 합입니다
Q21H1,It's related to the alphabet,알파벳과 관련이 있습니다
Q21H2,The fraction behind the star signifies the order,별모양 뒤의 분수는 순서를 의미합니다
Q21H3,Think of the numbers in English,숫자를 영어로 생각해보세요
Q22H1,Focus on the difference between the two sentences,두 문장의 다른 점에 집중해보세요
Q22H2,Draw lines,선을 그려보세요
Q22H3,You have to use Roman numerals,로마 숫자를 사용해야 합니다
Q23H1,You can solve the problem by using only the plus,더하기만 사용하여 문제를 해결할 수 있습니다
Q23H2,"28 is two numbers, two and eight",28은 2와 8 두개의 숫자입니다
Q23H3,The number on the left moves to 10 digits and the number on the right moves to 1 digits,"왼쪽의 수는 10의자리, 오른쪽의 수는 1의 자리로 이동합니다"
Q24H1,You have to use multiplication and addition,곱셈과 덧셈을 사용해야 합니다
Q24H2,The number on the left is the standard,왼쪽의 수가 기준이 됩니다
Home,Home,메인 화면
NextLevel,Next Level,다음 단계
